Year,State,Type,"Death_Rate (per 100,000)",Deaths,Mental_Health_Issues,Unemployment_Rates,Median Age,Literacy_Rate,Conviction Rates,Median_Income,High school education,Population,Registered_Firearms
2017,Washington,Blue,11.1,849,1129,4.6,38.7,0.838,0.5373,88930,1396487,7648648.649,1200.669611
2017,West Virginia,Red,18.6,348,239,5.4,42.8,0.782,0.6632,53520,1128284,1870967.742,1884.8
2017,Wisconsin,Swing,10.6,624,870,3,40.1,0.843,0.4553,74820,526652,5886792.453,1102.094231
2017,Wyoming,Red,18.8,113,99,4.3,39.7,0.864,0.6627,68200,1214914,601063.8298,22095.15752
2018,Alabama,Red,21.8,1064,637,3.8,39.1,0.762,0.784,57720,721987,4880733.945,3347.816165
2018,Alaska,Red,21,155,91,6,35.6,0.821,0.6282,79450,129250,738095.2381,2380.722581
2018,Arizona,Swing,15.3,1147,812,5,38.9,0.735,0.788,71990,1208158,7496732.026,2478.093113
2018,Arkansas,Red,18.9,573,333,3.7,37.4,0.7541,0.5374,57540,450668,3031746.032,2772.164921
2018,California,Blue,7.5,3040,5423,4.3,36.2,0.727,0.614,81480,5589646,40533333.33,883.7738488
2018,Colorado,Blue,15.2,889,769,3.1,37.2,0.844,0.328,84420,815752,5848684.211,1712.55613
2018,Connecticut,Blue,4.9,186,399,3.7,41.8,0.838,0.855,84160,413974,3795918.367,1799.222043
2018,Delaware,Blue,11.6,107,301,3.5,40.9,0.807,0.3282,75140,120182,922413.7931,540.3214953
2018,Florida,Swing,12.9,2902,2611,3.5,42.7,0.756,0.4974,63160,61530,22496124.03,1676.764404
2018,Georgia,Swing,15.7,1680,1332,3.9,37.6,0.758,0.5752,64520,3015699,10700636.94,1900.784048
2018,Hawaii,Blue,4,59,181,2.8,40.8,0.839,0.4692,92590,1383144,1475000,543.5932203
2018,Idaho,Red,16.6,294,214,3,37.1,0.838,0.6532,67880,204652,1771084.337,2965.810205
2018,Illinois,Blue,10.9,1382,1399,4.6,38.8,0.811,0.6423,81080,292076,12678899.08,1139.120984
2018,Indiana,Red,14.7,977,1255,3.6,36.8,0.822,0.4622,69230,1764774,6646258.503,1802.06653
2018,Iowa,Red,8.7,282,235,2.6,38.9,0.885,0.644,79430,887129,3241379.31,974.4925533
2018,Kansas,Red,14.8,424,337,3.4,37.6,0.851,0.456,73900,434337,2864864.865,1990.6
2018,Kentucky,Red,16.9,762,709,4.2,39.9,0.782,0.6037,63060,436532,4508875.74,1902.092782
2018,Louisiana,Red,21.4,991,619,4.8,38.4,0.754,0.527,57760,631690,4630841.121,2534.226438
2018,Maine,Blue,10.3,159,312,3.2,44.1,0.858,0.2891,67810,649675,1543689.32,1109.096227
2018,Maryland,Blue,11.7,707,717,3.7,39.5,0.83,0.113,99660,200338,6042735.043,1910.773833
2018,Massachusetts,Blue,3.5,258,1311,3.3,39.5,0.821,0.743,99800,779231,7371428.571,543.0426357
2018,Michigan,Swing,12.9,1310,1423,4.2,40.4,0.828,0.658,69870,741544,10155038.76,705.8367939
2018,Minnesota,Swing,7.8,437,845,3.2,38.2,0.862,0.8148,83010,1594947,5602564.103,1553.199542
2018,Mississippi,Red,22.9,681,488,5.3,38.5,0.73,0.9237,49450,791496,2973799.127,1322.584288
2018,Missouri,Red,21.5,1311,904,3.3,39.4,0.821,0.612,71350,440256,6097674.419,1290
2018,Montana,Red,17.3,186,181,3.6,40.1,0.814,0.6473,66670,937269,1075144.509,1890.536559
2018,Nebraska,Red,9,183,299,3.1,38.1,0.847,0.409,78110,180384,2033333.333,1234.032787
2018,Nevada,Swing,17.9,550,340,4.3,38.1,0.7472,0.8544,71510,283318,3072625.698,2836.271273
2018,New Hampshire,Blue,10.8,155,244,2.6,41.7,0.901,0.788,94020,542405,1435185.185,4120.722581
2018,New Jersey,Blue,4.8,420,1008,3.6,40.5,0.784,0.527,85740,178227,8750000,681.4742857
2018,New Mexico,Blue,20.7,438,276,5.2,39.5,0.718,0.4552,55810,1018104,2115942.029,4781.889041
2018,New York,Blue,4.1,821,2983,4,39.2,0.745,0.2562,77760,334577,20024390.24,390.2291109
2018,North Carolina,Swing,13.3,1416,1522,4,39.1,0.789,0.531,61690,2083151,10646616.54,1551.384887
2018,North Dakota,Red,11.5,89,76,2.4,35.7,0.871,0.7427,76870,1497087,773913.0435,1995.05618
2018,Ohio,Swing,13.1,1555,1888,4.5,36.1,0.825,0.6129,71240,109451,11870229.01,1460.08135
2018,Oklahoma,Red,16.8,665,545,3.2,37.7,0.807,0.604,62920,1638319,3958333.333,1885.010526
2018,Oregon,Blue,11.7,519,612,4.3,40.1,0.851,0.712,79950,613877,4435897.436,1495.661272
2018,Pennsylvania,Swing,12.5,1654,1719,4.3,41.6,0.831,0.4328,74580,744593,13232000,1978.27237
2018,Rhode Island,Blue,3.3,37,195,3.8,40.1,0.792,0.5133,71970,1432404,1121212.121,404.472973
2018,South Carolina,Red,17.6,895,435,3.2,40.2,0.771,0.7227,66400,133241,5085227.273,1988.426369
2018,South Dakota,Red,13.6,117,191,2.8,37.1,0.859,0.5864,68730,701181,860294.1176,2655.719658
2018,Tennessee,Red,17.8,1228,99,3.5,39.8,0.781,0.4125,64800,115946,6898876.404,1560.167101
2018,Texas,Red,12.2,3522,3321,3.8,35.8,0.735,0.4227,69100,975251,28868852.46,2208.650312
2018,Utah,Red,13.2,397,249,2.8,31.2,0.855,0.534,89080,3949496,3007575.758,2791.683627
2018,Vermont,Blue,12.8,82,190,2.3,38.6,0.862,0.5225,80990,462160,640625,1033.834146
2018,Virginia,Blue,11.8,1035,1280,3.1,39.1,0.815,0.918,89180,78850,8771186.441,3739.630918
2018,Washington,Blue,10.4,809,1137,4.6,37.6,0.842,0.5111,92150,1091538,7778846.154,1305.257849
2018,West Virginia,Red,18.2,343,251,5.1,42.4,0.789,0.6266,58460,1197203,1884615.385,2007.783673
2018,Wisconsin,Swing,10.1,598,899,3,40.3,0.845,0.4835,72390,246501,5920792.079,1237.165552
2018,Wyoming,Red,21.5,124,97,3.9,39.3,0.861,0.617,72290,817650,576744.186,22207.93952
2019,Alabama,Red,22.2,1076,692,3.1,39.2,0.762,0.821,64010,1039241,4846846.847,3471.638476
2019,Alaska,Red,24.4,179,117,5.3,35.8,0.8212,0.6182,89290,139156,733606.5574,2797.139665
2019,Arizona,Swing,15.1,1136,899,4.7,38.3,0.731,0.728,80500,1170685,7523178.808,2722.479489
2019,Arkansas,Red,19.3,580,246,3.5,38.1,0.752,0.5444,62120,710306,3005181.347,3620.447069
2019,California,Blue,7.2,2945,5124,4.2,37.6,0.721,0.621,88960,5546711,40902777.78,920.8812224
2019,Colorado,Blue,14.2,846,755,2.8,37,0.842,0.332,82580,836590,5957746.479,1891.503782
2019,Connecticut,Blue,5.3,190,487,3.8,42.1,0.831,0.859,99420,668361,3584905.66,2088.674211
2019,Delaware,Blue,9.9,93,287,3.6,41.9,0.806,0.311,84510,207642,939393.9394,562.1709677
2019,Florida,Swing,12.7,2872,2567,3,42,0.746,0.5464,66480,79881,22614173.23,1912.875592
2019,Georgia,Swing,15.8,1695,1402,3.5,36.9,0.759,0.5422,64500,4396122,10727848.1,2106.601416
2019,Hawaii,Blue,4.4,62,188,2.3,40.4,0.841,0.4522,100200,1939945,1409090.909,614.9354839
2019,Idaho,Red,14.2,255,215,2.8,37.8,0.835,0.6821,75160,273421,1795774.648,3274.185882
2019,Illinois,Blue,10.8,1367,1211,3.6,39.4,0.815,0.6632,84740,305274,12657407.41,1166.889832
2019,Indiana,Red,14.1,958,1332,3.3,37.4,0.826,0.4721,75960,2255611,6794326.241,1966.258246
2019,Iowa,Red,9.1,294,179,2.7,38.9,0.881,0.6541,75240,1526825,3230769.231,1131
2019,Kansas,Red,13.7,403,301,3.3,37.8,0.851,0.4365,83320,658822,2941605.839,1849.63598
2019,Kentucky,Red,14.9,682,773,4.1,39.1,0.782,0.6537,63400,504035,4577181.208,2047.52654
2019,Louisiana,Red,22.1,1013,672,4.8,38.5,0.754,0.517,58890,1012643,4583710.407,2539.383811
2019,Maine,Blue,11.5,163,309,3.2,44.8,0.859,0.3055,75800,1066026,1417391.304,1228.312884
2019,Maryland,Blue,12.6,757,723,3.3,39.1,0.82,0.114,108900,311108,6007936.508,2135.325495
2019,Massachusetts,Blue,3.4,247,1212,2.9,40.9,0.818,0.741,99900,1030636,7264705.882,549.0380567
2019,Michigan,Swing,12.1,1220,1499,3.8,40.8,0.828,0.658,73030,1158066,10082644.63,826.7176228
2019,Minnesota,Swing,8.1,465,843,3.3,38.7,0.861,0.8248,92740,2005981,5740740.741,1717.287097
2019,Mississippi,Red,24.2,710,491,5.6,38.5,0.72,0.9437,51010,939997,2933884.298,1784.187605
2019,Missouri,Red,20.6,1252,906,3.3,39.9,0.8214,0.611,69020,598609,6077669.903,1452.365815
2019,Montana,Red,19,209,199,3.5,40.9,0.814,0.5573,68560,1308859,1100000,2134.181818
2019,Nebraska,Red,10.4,205,304,3.1,37.3,0.847,0.419,83230,211079,1971153.846,1509.420488
2019,Nevada,Swing,15.3,490,351,4.2,38.9,0.7412,0.8321,80760,326389,3202614.379,3023.217551
2019,New Hampshire,Blue,10.7,156,309,2.6,42.2,0.891,0.751,98980,593417,1457943.925,4070.183975
2019,New Jersey,Blue,4.1,368,978,3.9,40.9,0.781,0.597,99920,275105,8975609.756,1005.135054
2019,New Mexico,Blue,22.3,471,213,5,39.1,0.712,0.4152,60500,1666321,2112107.623,5010.918897
2019,New York,Blue,3.9,804,2335,4,38.1,0.741,0.2662,81840,376390,20615384.62,402.2093283
2019,North Carolina,Swing,13.1,1397,1435,3.8,39.2,0.779,0.534,69660,3524192,10664122.14,1699.239728
2019,North Dakota,Red,12.4,93,65,2,36.5,0.878,0.7527,79760,1839042,750000,2629.333333
2019,Ohio,Swing,13.3,1578,1911,4.4,38.1,0.829,0.6334,73650,134432,11864661.65,1481.871167
2019,Oklahoma,Red,18.6,737,488,3.1,36.9,0.801,0.574,67650,2627758,3962365.591,2097.534871
2019,Oregon,Blue,12.6,566,589,3.4,40.1,0.857,0.702,84760,825284,4492063.492,1663.422615
2019,Pennsylvania,Swing,11.7,1541,1829,4.5,41.2,0.836,0.4428,80390,687243,13170940.17,2060.802012
