Death_Rate,Time,Type,Mental_Health_Issues,Unemployment_Rates,Median Age,Literacy_Rate,Conviction Rates,Median_Income,High_School_Education,Registered_Firearms,Population
21.7,2,Red,630,4.7,38.1,0.751,0.567,51770,997060,0.025151118,4645161.29
11.7,2,Blue,309,3.1,44.3,0.868,0.2791,60920,1061526,0.010455855,1470085.47
12.3,2,Blue,714,4,39.9,0.828,0.123,95610,300716,0.017092193,6032520.325
3.7,2,Blue,1298,3.7,40.5,0.8269,0.713,86350,1020828,0.005246656,7081081.081
11.3,2,Swing,1377,4.6,40.2,0.824,0.648,68040,1163526,0.006527984,10070796.46
8.2,2,Swing,809,3.3,38.1,0.859,0.8748,84800,1969839,0.01398532,5670731.707
21.5,2,Red,427,4.9,38.1,0.723,0.912,51220,938908,0.012074699,2939534.884
21.5,2,Red,882,3.5,39.7,0.822,0.622,67080,595611,0.012007758,6079069.767
22.5,2,Red,175,4,40.5,0.814,0.6237,69670,1277505,0.020409529,1084444.444
8.3,2,Red,293,3,37.2,0.846,0.4209,70300,203141,0.011533888,1927710.843
16.7,2,Swing,344,4.9,38.6,0.7572,0.864,66680,331081,0.025276173,3041916.168
10.4,2,Blue,298,2.8,42.1,0.899,0.728,88200,592846,0.045685205,1403846.154
5.3,2,Blue,1192,4.5,40.5,0.7832,0.517,86070,268564,0.006376299,9018867.925
18.5,2,Blue,324,5.4,39.5,0.712,0.4405,56430,1696858,0.04581802,2129729.73
3.7,2,Blue,2889,4.5,39.1,0.744,0.222,73630,370599,0.003652408,20864864.86
13.7,2,Swing,1567,4.3,39.1,0.788,0.547,59360,3634065,0.014585039,10437956.2
13.2,2,Red,101,2.6,35.2,0.871,0.727,70610,1800555,0.017008777,780303.0303
13.7,2,Swing,1983,4.6,38.1,0.823,0.6223,70480,130900,0.014950588,11598540.15
17.2,2,Red,572,3.8,37.4,0.797,0.604,64860,2661209,0.018000394,3959302.326
12.1,2,Blue,601,4.1,40.5,0.841,0.669,76180,804245,0.014066937,4363636.364
12.5,2,Swing,1694,4.9,40.6,0.839,0.4138,74490,673810,0.01806059,13088000
3.9,2,Blue,193,4.5,40.8,0.798,0.5827,78280,3134497,0.003830163,1102564.103
17.7,2,Red,449,4.1,40.4,0.778,0.7217,64820,220613,0.020930993,5045197.74
11.9,2,Red,132,3,37.8,0.851,0.5664,67090,1016072,0.024895743,848739.4958
18.4,2,Red,109,3.5,39.2,0.789,0.4081,65140,176709,0.014643063,6771739.13
12.4,2,Red,3421,4.1,35.8,0.728,0.4525,69920,1488080,0.020779477,28330645.16
14,2,Red,234,3.1,31.1,0.858,0.614,84100,4552676,0.024877659,2928571.429
11.7,2,Blue,172,3,43.2,0.868,0.5382,75240,408078,0.009814629,598290.5983
11.9,2,Blue,1324,3.4,39.5,0.817,0.9213,84060,127426,0.035188106,8747899.16
11.1,2,Blue,1129,4.6,38.7,0.838,0.5373,88930,1396487,0.012006696,7648648.649
18.6,2,Red,239,5.4,42.8,0.782,0.6632,53520,1128284,0.018848,1870967.742
10.6,2,Swing,870,3,40.1,0.843,0.4553,74820,526652,0.011020942,5886792.453
18.8,2,Red,99,4.3,39.7,0.864,0.6627,68200,1214914,0.220951575,601063.8298
21.8,3,Red,637,3.8,39.1,0.762,0.784,57720,721987,0.033478162,4880733.945
21,3,Red,91,6,35.6,0.821,0.6282,79450,129250,0.023807226,738095.2381
15.3,3,Swing,812,5,38.9,0.735,0.788,71990,1208158,0.024780931,7496732.026
18.9,3,Red,333,3.7,37.4,0.7541,0.5374,57540,450668,0.027721649,3031746.032
7.5,3,Blue,5423,4.3,36.2,0.727,0.614,81480,5589646,0.008837738,40533333.33
15.2,3,Blue,769,3.1,37.2,0.844,0.328,84420,815752,0.017125561,5848684.211
4.9,3,Blue,399,3.7,41.8,0.838,0.855,84160,413974,0.01799222,3795918.367
11.6,3,Blue,301,3.5,40.9,0.807,0.3282,75140,120182,0.005403215,922413.7931
12.9,3,Swing,2611,3.5,42.7,0.756,0.4974,63160,61530,0.016767644,22496124.03
15.7,3,Swing,1332,3.9,37.6,0.758,0.5752,64520,3015699,0.01900784,10700636.94
4,3,Blue,181,2.8,40.8,0.839,0.4692,92590,1383144,0.005435932,1475000
16.6,3,Red,214,3,37.1,0.838,0.6532,67880,204652,0.029658102,1771084.337
10.9,3,Blue,1399,4.6,38.8,0.811,0.6423,81080,292076,0.01139121,12678899.08
14.7,3,Red,1255,3.6,36.8,0.822,0.4622,69230,1764774,0.018020665,6646258.503
8.7,3,Red,235,2.6,38.9,0.885,0.644,79430,887129,0.009744926,3241379.31
14.8,3,Red,337,3.4,37.6,0.851,0.456,73900,434337,0.019906,2864864.865
16.9,3,Red,709,4.2,39.9,0.782,0.6037,63060,436532,0.019020928,4508875.74
21.4,3,Red,619,4.8,38.4,0.754,0.527,57760,631690,0.025342264,4630841.121
10.3,3,Blue,312,3.2,44.1,0.858,0.2891,67810,649675,0.011090962,1543689.32
11.7,3,Blue,717,3.7,39.5,0.8282,0.113,99660,200338,0.019107738,6042735.043
3.5,3,Blue,1311,3.3,39.5,0.821,0.743,99800,779231,0.005430426,7371428.571
12.9,3,Swing,1423,4.2,40.4,0.828,0.658,69870,741544,0.007058368,10155038.76
7.8,3,Swing,845,3.2,38.2,0.862,0.8148,83010,1594947,0.015531995,5602564.103
22.9,3,Red,488,5.3,38.5,0.728,0.9237,49450,791496,0.013225843,2973799.127
21.5,3,Red,904,3.3,39.4,0.821,0.612,71350,440256,0.0129,6097674.419
17.3,3,Red,181,3.6,40.1,0.814,0.6473,66670,937269,0.018905366,1075144.509
9,3,Red,299,3.1,38.1,0.847,0.409,78110,180384,0.012340328,2033333.333
17.9,3,Swing,340,4.3,38.1,0.7472,0.8544,71510,283318,0.028362713,3072625.698
10.8,3,Blue,244,2.6,41.7,0.901,0.788,94020,542405,0.041207226,1435185.185
4.8,3,Blue,1008,3.6,40.5,0.784,0.527,85740,178227,0.006814743,8750000
20.7,3,Blue,276,5.2,39.5,0.718,0.4552,55810,1018104,0.04781889,2115942.029
4.1,3,Blue,2983,4,39.2,0.745,0.2562,77760,334577,0.003902291,20024390.24
13.3,3,Swing,1522,4,39.1,0.789,0.531,61690,2083151,0.015513849,10646616.54
11.5,3,Red,76,2.4,35.7,0.871,0.7427,76870,1497087,0.019950562,773913.0435
13.1,3,Swing,1888,4.5,36.1,0.825,0.6129,71240,109451,0.014600814,11870229.01
